"subject"	"culture"	"counterbalance"	"sex"	"age"	"order"	"response"
379	"Indonesia"	"CB3"	"Girl"	5	"Min_first"	"Minority"
380	"Indonesia"	"CB4"	"Boy"	5	"Min_first"	"Minority"
381	"Indonesia"	"CB1"	"Girl"	5	"Min_first"	"Minority"
382	"Indonesia"	"CB5"	"Boy"	9	"Maj_first"	"Majority"
383	"Indonesia"	"CB7"	"Boy"	7	"Maj_first"	"Majority"
384	"Indonesia"	"CB8"	"Girl"	9	"Min_first"	"Minority"
385	"Indonesia"	"CB9"	"Girl"	7	"Maj_first"	"Majority"
386	"Indonesia"	"CB3"	"Boy"	5	"Min_first"	"Minority"
387	"Indonesia"	"CB9"	"Girl"	9	"Maj_first"	"Majority"
388	"Indonesia"	"CB8"	"Boy"	7	"Min_first"	"Innovation"
389	"Indonesia"	"CB9"	"Boy"	7	"Maj_first"	"Minority"
390	"Indonesia"	"CB6"	"Boy"	5	"Min_first"	"Minority"
391	"Indonesia"	"CB10"	"Boy"	7	"Maj_first"	"Minority"
392	"Indonesia"	"CB9"	"Boy"	9	"Maj_first"	"Innovation"
393	"Indonesia"	"CB5"	"Boy"	5	"Maj_first"	"Majority"
394	"Indonesia"	"CB11"	"Boy"	7	"Min_first"	"Innovation"
395	"Indonesia"	"CB8"	"Girl"	5	"Min_first"	"Innovation"
396	"Indonesia"	"CB12"	"Boy"	7	"Maj_first"	"Minority"
397	"Indonesia"	"CB2"	"Boy"	5	"Maj_first"	"Majority"
398	"Kenya"	"CB12"	"Boy"	10	"Maj_first"	"Majority"
399	"Kenya"	"CB8"	"Girl"	7	"Min_first"	"Minority"
400	"Kenya"	"CB12"	"Girl"	8	"Maj_first"	"Majority"
401	"Kenya"	"CB11"	"Girl"	8	"Min_first"	"Innovation"
402	"Kenya"	"CB8"	"Girl"	8	"Min_first"	"Majority"
403	"Kenya"	"CB5"	"Boy"	9	"Maj_first"	"Minority"
404	"Kenya"	"CB7"	"Girl"	10	"Maj_first"	"Majority"
405	"Kenya"	"CB8"	"Boy"	9	"Min_first"	"Minority"
406	"Kenya"	"CB1"	"Girl"	5	"Min_first"	"Majority"
407	"Kenya"	"CB9"	"Girl"	8	"Maj_first"	"Majority"
408	"Kenya"	"CB3"	"Boy"	8	"Min_first"	"Majority"
409	"Kenya"	"CB4"	"Boy"	10	"Min_first"	"Innovation"
410	"Kenya"	"CB4"	"Boy"	6	"Min_first"	"Innovation"
411	"Kenya"	"CB2"	"Boy"	7	"Maj_first"	"Minority"
412	"Kenya"	"CB12"	"Boy"	7	"Maj_first"	"Majority"
413	"Kenya"	"CB11"	"Boy"	6	"Min_first"	"Innovation"
414	"Kenya"	"CB7"	"Boy"	5	"Maj_first"	"Minority"
415	"Kenya"	"CB8"	"Boy"	7	"Min_first"	"Minority"
416	"Kenya"	"CB11"	"Boy"	10	"Min_first"	"Minority"
417	"Kenya"	"CB2"	"Boy"	8	"Maj_first"	"Minority"
418	"Kenya"	"CB5"	"Boy"	6	"Maj_first"	"Minority"
419	"Kenya"	"CB3"	"Boy"	10	"Min_first"	"Innovation"
420	"Kenya"	"CB5"	"Boy"	8	"Maj_first"	"Minority"
421	"Kenya"	"CB6"	"Boy"	6	"Min_first"	"Majority"
422	"Kenya"	"CB9"	"Boy"	7	"Maj_first"	"Majority"
423	"Kenya"	"CB7"	"Boy"	7	"Maj_first"	"Majority"
424	"Kenya"	"CB6"	"Boy"	9	"Min_first"	"Majority"
425	"Kenya"	"CB9"	"Boy"	9	"Maj_first"	"Majority"
426	"Kenya"	"CB1"	"Boy"	7	"Min_first"	"Minority"
427	"Kenya"	"CB10"	"Girl"	10	"Maj_first"	"Majority"
428	"Kenya"	"CB4"	"Girl"	5	"Min_first"	"Innovation"
429	"Kenya"	"CB12"	"Boy"	6	"Maj_first"	"Majority"
430	"Kenya"	"CB3"	"Girl"	9	"Min_first"	"Majority"
431	"Kenya"	"CB9"	"Girl"	9	"Maj_first"	"Minority"
432	"Kenya"	"CB1"	"Girl"	7	"Min_first"	"Minority"
433	"Kenya"	"CB9"	"Girl"	7	"Maj_first"	"Majority"
434	"Kenya"	"CB3"	"Girl"	5	"Min_first"	"Minority"
435	"Kenya"	"CB6"	"Girl"	7	"Min_first"	"Majority"
436	"Kenya"	"CB3"	"Girl"	7	"Min_first"	"Innovation"
437	"Kenya"	"CB12"	"Girl"	9	"Maj_first"	"Innovation"
438	"Kenya"	"CB11"	"Girl"	7	"Min_first"	"Minority"
439	"Kenya"	"CB8"	"Girl"	10	"Min_first"	"Majority"
440	"Kenya"	"CB2"	"Girl"	7	"Maj_first"	"Minority"
441	"Kenya"	"CB6"	"Girl"	10	"Min_first"	"Majority"
442	"Kenya"	"CB5"	"Girl"	8	"Maj_first"	"Majority"
443	"Kenya"	"CB12"	"Girl"	7	"Maj_first"	"Innovation"
444	"Kenya"	"CB2"	"Girl"	9	"Maj_first"	"Minority"
445	"Kenya"	"CB10"	"Girl"	7	"Maj_first"	"Minority"
446	"Kenya"	"CB5"	"Girl"	6	"Maj_first"	"Innovation"
447	"Kenya"	"CB7"	"Girl"	7	"Maj_first"	"Majority"
448	"Kenya"	"CB4"	"Girl"	8	"Min_first"	"Majority"
449	"Kenya"	"CB10"	"Boy"	7	"Maj_first"	"Innovation"
450	"Kenya"	"CB4"	"Boy"	8	"Min_first"	"Majority"
451	"Kenya"	"CB9"	"Boy"	5	"Maj_first"	"Majority"
452	"Kenya"	"CB3"	"Boy"	5	"Min_first"	"Minority"
453	"Kenya"	"CB7"	"Boy"	10	"Maj_first"	"Majority"
454	"Kenya"	"CB1"	"Girl"	9	"Min_first"	"Majority"
455	"Kenya"	"CB11"	"Girl"	10	"Min_first"	"Innovation"
456	"Kenya"	"CB6"	"Boy"	8	"Min_first"	"Majority"
457	"Kenya"	"CB10"	"Girl"	8	"Maj_first"	"Minority"
458	"Kenya"	"CB6"	"Girl"	8	"Min_first"	"Minority"
459	"Kenya"	"CB7"	"Girl"	8	"Maj_first"	"Innovation"
460	"Kenya"	"CB5"	"Girl"	10	"Maj_first"	"Minority"
461	"Kenya"	"CB4"	"Girl"	10	"Min_first"	"Minority"
462	"Kenya"	"CB10"	"Boy"	10	"Maj_first"	"Majority"
463	"Kenya"	"CB1"	"Boy"	9	"Min_first"	"Majority"
464	"Kenya"	"CB8"	"Boy"	6	"Min_first"	"Minority"
465	"Samoa"	"CB12"	"Girl"	7	"Maj_first"	"Minority"
466	"Samoa"	"CB8"	"Girl"	6	"Min_first"	"Minority"
467	"Samoa"	"CB4"	"Girl"	5	"Min_first"	"Minority"
468	"Samoa"	"CB9"	"Girl"	6	"Maj_first"	"Majority"
469	"Samoa"	"CB5"	"Girl"	5	"Maj_first"	"Majority"
470	"Samoa"	"CB3"	"Girl"	5	"Min_first"	"Minority"
471	"Samoa"	"CB6"	"Boy"	8	"Min_first"	"Minority"
472	"Samoa"	"CB5"	"Boy"	6	"Maj_first"	"Majority"
473	"Samoa"	"CB7"	"Girl"	8	"Maj_first"	"Majority"
474	"Samoa"	"CB4"	"Boy"	8	"Min_first"	"Minority"
475	"Samoa"	"CB3"	"Boy"	6	"Min_first"	"Majority"
476	"Samoa"	"CB10"	"Girl"	5	"Maj_first"	"Majority"
477	"Samoa"	"CB2"	"Boy"	6	"Maj_first"	"Majority"
478	"Samoa"	"CB10"	"Boy"	6	"Maj_first"	"Majority"
479	"Samoa"	"CB11"	"Girl"	8	"Min_first"	"Minority"
480	"Samoa"	"CB8"	"Boy"	6	"Min_first"	"Innovation"
481	"Samoa"	"CB9"	"Boy"	6	"Maj_first"	"Majority"
482	"Samoa"	"CB12"	"Boy"	5	"Maj_first"	"Minority"
483	"Samoa"	"CB6"	"Girl"	5	"Min_first"	"Majority"
484	"Samoa"	"CB1"	"Girl"	5	"Min_first"	"Minority"
485	"Samoa"	"CB7"	"Boy"	6	"Maj_first"	"Minority"
486	"Samoa"	"CB11"	"Boy"	5	"Min_first"	"Innovation"
487	"Samoa"	"CB2"	"Girl"	5	"Maj_first"	"Innovation"
488	"Samoa"	"CB1"	"Boy"	6	"Min_first"	"Majority"
489	"Zambia"	"CB10"	"Boy"	9	"Maj_first"	"Majority"
490	"Zambia"	"CB4"	"Boy"	10	"Min_first"	"Innovation"
491	"Zambia"	"CB3"	"Girl"	7	"Min_first"	"Majority"
492	"Zambia"	"CB1"	"Boy"	11	"Min_first"	"Minority"
493	"Zambia"	"CB3"	"Boy"	4	"Min_first"	"Minority"
494	"Zambia"	"CB7"	"Girl"	6	"Maj_first"	"Minority"
495	"Zambia"	"CB8"	"Boy"	9	"Min_first"	"Majority"
496	"Zambia"	"CB1"	"Girl"	14	"Min_first"	"Majority"
497	"Zambia"	"CB4"	"Girl"	5	"Min_first"	"Majority"
498	"Zambia"	"CB6"	"Boy"	9	"Min_first"	"Minority"
499	"Zambia"	"CB6"	"Boy"	11	"Min_first"	"Minority"
500	"Zambia"	"CB7"	"Boy"	9	"Maj_first"	"Majority"
501	"Zambia"	"CB2"	"Boy"	7	"Maj_first"	"Majority"
502	"Zambia"	"CB4"	"Boy"	7	"Min_first"	"Innovation"
503	"Zambia"	"CB9"	"Boy"	9	"Maj_first"	"Minority"
504	"Zambia"	"CB6"	"Girl"	6	"Min_first"	"Minority"
505	"Zambia"	"CB5"	"Boy"	9	"Maj_first"	"Majority"
506	"Zambia"	"CB5"	"Boy"	12	"Maj_first"	"Majority"
507	"Zambia"	"CB5"	"Boy"	7	"Maj_first"	"Minority"
508	"Zambia"	"CB3"	"Girl"	10	"Min_first"	"Minority"
509	"Zambia"	"CB6"	"Boy"	8	"Min_first"	"Majority"
510	"Zambia"	"CB5"	"Girl"	5	"Maj_first"	"Minority"
511	"Zambia"	"CB5"	"Girl"	8	"Maj_first"	"Minority"
512	"Zambia"	"CB1"	"Girl"	11	"Min_first"	"Majority"
513	"Zambia"	"CB7"	"Boy"	11	"Maj_first"	"Innovation"
514	"Zambia"	"CB2"	"Girl"	8	"Maj_first"	"Majority"
515	"Zambia"	"CB3"	"Girl"	6	"Min_first"	"Innovation"
516	"Zambia"	"CB1"	"Boy"	8	"Min_first"	"Minority"
517	"Zambia"	"CB4"	"Girl"	10	"Min_first"	"Minority"
518	"Zambia"	"CB2"	"Boy"	5	"Maj_first"	"Innovation"
519	"Zambia"	"CB1"	"Boy"	9	"Min_first"	"Minority"
520	"Zambia"	"CB1"	"Boy"	13	"Min_first"	"Majority"
521	"Zambia"	"CB6"	"Girl"	7	"Min_first"	"Minority"
522	"Zambia"	"CB4"	"Boy"	11	"Min_first"	"Innovation"
523	"Zambia"	"CB1"	"Girl"	4	"Min_first"	"Majority"
524	"Zambia"	"CB2"	"Boy"	9	"Maj_first"	"Majority"
525	"Zambia"	"CB1"	"Girl"	7	"Min_first"	"Minority"
526	"Zambia"	"CB4"	"Girl"	7	"Min_first"	"Minority"
527	"Zambia"	"CB3"	"Boy"	10	"Min_first"	"Innovation"
528	"Zambia"	"CB2"	"Girl"	9	"Maj_first"	"Minority"
1001	"Germany"	"CB1"	"Girl"	10	"Min_first"	"Majority"
1002	"Germany"	"CB2"	"Girl"	10	"Maj_first"	"Minority"
1003	"Germany"	"CB4"	"Girl"	10	"Min_first"	"Innovation"
1004	"Germany"	"CB5"	"Girl"	10	"Maj_first"	"Innovation"
1005	"Germany"	"CB6"	"Girl"	10	"Min_first"	"Minority"
1006	"Germany"	"CB7"	"Girl"	10	"Maj_first"	"Majority"
1007	"Germany"	"CB8"	"Girl"	10	"Min_first"	"Innovation"
1008	"Germany"	"CB9"	"Girl"	10	"Maj_first"	"Innovation"
1009	"Germany"	"CB10"	"Girl"	10	"Maj_first"	"Majority"
1010	"Germany"	"CB11"	"Girl"	10	"Min_first"	"Innovation"
1011	"Germany"	"CB12"	"Girl"	10	"Maj_first"	"Majority"
1012	"Germany"	"CB12"	"Boy"	10	"Maj_first"	"Majority"
1013	"Germany"	"CB11"	"Boy"	10	"Min_first"	"Majority"
1014	"Germany"	"CB10"	"Boy"	10	"Maj_first"	"Majority"
1015	"Germany"	"CB9"	"Boy"	10	"Maj_first"	"Majority"
1016	"Germany"	"CB8"	"Boy"	10	"Min_first"	"Majority"
1017	"Germany"	"CB7"	"Boy"	10	"Maj_first"	"Minority"
1018	"Germany"	"CB6"	"Boy"	10	"Min_first"	"Innovation"
1019	"Germany"	"CB5"	"Boy"	10	"Maj_first"	"Majority"
1020	"Germany"	"CB4"	"Boy"	10	"Min_first"	"Majority"
1021	"Germany"	"CB3"	"Boy"	10	"Min_first"	"Innovation"
1022	"Germany"	"CB2"	"Boy"	10	"Maj_first"	"Majority"
1023	"Germany"	"CB1"	"Boy"	10	"Min_first"	"Majority"
1024	"Germany"	"CB1"	"Girl"	11	"Min_first"	"Innovation"
1025	"Germany"	"CB2"	"Girl"	11	"Maj_first"	"Majority"
1026	"Germany"	"CB3"	"Girl"	11	"Min_first"	"Innovation"
1027	"Germany"	"CB4"	"Girl"	11	"Min_first"	"Majority"
1028	"Germany"	"CB5"	"Girl"	11	"Maj_first"	"Majority"
1029	"Germany"	"CB6"	"Girl"	11	"Min_first"	"Minority"
1030	"Germany"	"CB7"	"Girl"	11	"Maj_first"	"Majority"
1031	"Germany"	"CB8"	"Girl"	11	"Min_first"	"Innovation"
1032	"Germany"	"CB9"	"Girl"	11	"Maj_first"	"Minority"
1033	"Germany"	"CB10"	"Girl"	11	"Maj_first"	"Majority"
1034	"Germany"	"CB11"	"Girl"	11	"Min_first"	"Minority"
1035	"Germany"	"CB12"	"Girl"	11	"Maj_first"	"Majority"
1036	"Germany"	"CB12"	"Girl"	11	"Maj_first"	"Majority"
1037	"Germany"	"CB11"	"Boy"	11	"Min_first"	"Minority"
1038	"Germany"	"CB9"	"Boy"	11	"Maj_first"	"Majority"
1039	"Germany"	"CB8"	"Boy"	11	"Min_first"	"Majority"
1040	"Germany"	"CB7"	"Boy"	11	"Maj_first"	"Majority"
1041	"Germany"	"CB6"	"Boy"	11	"Min_first"	"Innovation"
1042	"Germany"	"CB5"	"Boy"	11	"Maj_first"	"Innovation"
1043	"Germany"	"CB4"	"Boy"	11	"Min_first"	"Innovation"
1044	"Germany"	"CB3"	"Boy"	11	"Min_first"	"Innovation"
1045	"Germany"	"CB2"	"Boy"	11	"Maj_first"	"Majority"
1046	"Germany"	"CB1"	"Boy"	11	"Min_first"	"Minority"
1047	"Germany"	"CB3"	"Girl"	10	"Min_first"	"Majority"
1048	"Germany"	"CB10"	"Boy"	11	"Maj_first"	"Majority"
2001	"Germany"	"CB1"	"Girl"	12	"Min_first"	"Minority"
2025	"Germany"	"CB1"	"Boy"	12	"Min_first"	"Innovation"
2027	"Germany"	"CB1"	"Girl"	13	"Min_first"	"Majority"
2039	"Germany"	"CB1"	"Girl"	13	"Min_first"	"Majority"
2051	"Germany"	"CB1"	"Boy"	13	"Min_first"	"Majority"
2010	"Germany"	"CB10"	"Girl"	12	"Maj_first"	"Minority"
2016	"Germany"	"CB10"	"Boy"	12	"Maj_first"	"Majority"
2036	"Germany"	"CB10"	"Girl"	13	"Maj_first"	"Majority"
2042	"Germany"	"CB10"	"Boy"	13	"Maj_first"	"Innovation"
2011	"Germany"	"CB11"	"Girl"	12	"Min_first"	"Minority"
2015	"Germany"	"CB11"	"Boy"	12	"Min_first"	"Minority"
2037	"Germany"	"CB11"	"Girl"	13	"Min_first"	"Innovation"
2041	"Germany"	"CB11"	"Boy"	13	"Min_first"	"Minority"
2012	"Germany"	"CB12"	"Girl"	11	"Maj_first"	"Innovation"
2014	"Germany"	"CB12"	"Boy"	12	"Maj_first"	"Majority"
2038	"Germany"	"CB12"	"Girl"	13	"Maj_first"	"Innovation"
2040	"Germany"	"CB12"	"Boy"	13	"Maj_first"	"Majority"
2002	"Germany"	"CB2"	"Girl"	12	"Maj_first"	"Minority"
2028	"Germany"	"CB2"	"Girl"	13	"Maj_first"	"Majority"
2050	"Germany"	"CB2"	"Boy"	13	"Maj_first"	"Innovation"
2003	"Germany"	"CB3"	"Girl"	12	"Min_first"	"Minority"
2023	"Germany"	"CB3"	"Boy"	11	"Min_first"	"Minority"
2029	"Germany"	"CB3"	"Girl"	13	"Min_first"	"Minority"
2049	"Germany"	"CB3"	"Boy"	13	"Min_first"	"Minority"
2004	"Germany"	"CB4"	"Girl"	12	"Min_first"	"Innovation"
2022	"Germany"	"CB4"	"Boy"	12	"Min_first"	"Innovation"
2030	"Germany"	"CB4"	"Girl"	13	"Min_first"	"Minority"
2048	"Germany"	"CB4"	"Boy"	13	"Min_first"	"Minority"
2005	"Germany"	"CB5"	"Girl"	12	"Maj_first"	"Innovation"
2021	"Germany"	"CB5"	"Boy"	12	"Maj_first"	"Minority"
2031	"Germany"	"CB5"	"Girl"	13	"Maj_first"	"Majority"
2047	"Germany"	"CB5"	"Boy"	13	"Maj_first"	"Majority"
2006	"Germany"	"CB6"	"Girl"	12	"Min_first"	"Minority"
2020	"Germany"	"CB6"	"Boy"	12	"Min_first"	"Minority"
2032	"Germany"	"CB6"	"Girl"	13	"Min_first"	"Majority"
2046	"Germany"	"CB6"	"Boy"	13	"Min_first"	"Majority"
2007	"Germany"	"CB7"	"Girl"	11	"Maj_first"	"Majority"
2019	"Germany"	"CB7"	"Boy"	12	"Maj_first"	"Majority"
2033	"Germany"	"CB7"	"Girl"	12	"Maj_first"	"Innovation"
2045	"Germany"	"CB7"	"Boy"	13	"Maj_first"	"Innovation"
2008	"Germany"	"CB8"	"Girl"	11	"Min_first"	"Innovation"
2018	"Germany"	"CB8"	"Boy"	12	"Min_first"	"Minority"
2034	"Germany"	"CB8"	"Girl"	13	"Min_first"	"Majority"
2044	"Germany"	"CB8"	"Boy"	13	"Min_first"	"Innovation"
2009	"Germany"	"CB9"	"Girl"	12	"Maj_first"	"Majority"
2017	"Germany"	"CB9"	"Boy"	12	"Maj_first"	"Innovation"
2035	"Germany"	"CB9"	"Girl"	13	"Maj_first"	"Innovation"
2043	"Germany"	"CB9"	"Boy"	13	"Maj_first"	"Majority"
2013	"Germany"	"CB1"	"Girl"	12	"Min_first"	"Innovation"
2053	"Germany"	"CB11"	"Boy"	13	"Min_first"	"Majority"
2026	"Germany"	"CB12"	"Boy"	12	"Maj_first"	"Majority"
2052	"Germany"	"CB12"	"Boy"	13	"Maj_first"	"Majority"
2024	"Germany"	"CB2"	"Boy"	12	"Maj_first"	"Majority"
